state_code,decade,population,source
MA,1980,5737000,census
MA,1990,6016000,census
MA,2000,6349000,census
MA,2010,6548000,census
MI,1910,4014000,extrapolated_from_1930_1940
MI,1920,4428000,extrapolated_from_1930_1940
MI,1930,4842000,census
MI,1940,5256000,census
MI,1950,6372000,census
MI,1960,7823000,census
MI,1970,8882000,census
MI,1980,9262000,census
MI,1990,9295000,census
MI,2000,9938000,census
MI,2010,9884000,census
MN,1910,2108000,extrapolated_from_1930_1940
MN,1920,2336000,extrapolated_from_1930_1940
MN,1930,2564000,census
MN,1940,2792000,census
MN,1950,2982000,census
MN,1960,3414000,census
MN,1970,3805000,census
MN,1980,4076000,census
MN,1990,4375000,census
MN,2000,4919000,census
MN,2010,5304000,census
MS,1910,1662000,extrapolated_from_1930_1940
MS,1920,1836000,extrapolated_from_1930_1940
MS,1930,2010000,census
MS,1940,2184000,census
MS,1950,2179000,census
MS,1960,2178000,census
MS,1970,2217000,census
MS,1980,2521000,census
MS,1990,2573000,census
MS,2000,2845000,census
MS,2010,2967000,census
MO,1910,3317000,extrapolated_from_1930_1940
MO,1920,3473000,extrapolated_from_1930_1940
MO,1930,3629000,census
MO,1940,3785000,census
MO,1950,3955000,census
MO,1960,4320000,census
MO,1970,4677000,census
MO,1980,4917000,census
MO,1990,5117000,census
MO,2000,5595000,census
MO,2010,5989000,census
MT,1910,496000,extrapolated_from_1930_1940
MT,1920,517000,extrapolated_from_1930_1940
MT,1930,538000,census
MT,1940,559000,census
MT,1950,591000,census
MT,1960,675000,census
MT,1970,694000,census
MT,1980,787000,census
MT,1990,799000,census
MT,2000,902000,census
MT,2010,989000,census
NE,1910,1502000,extrapolated_from_1930_1940
NE,1920,1440000,extrapolated_from_1930_1940
NE,1930,1378000,census
NE,1940,1316000,census
NE,1950,1326000,census
NE,1960,1411000,census
NE,1970,1483000,census
NE,1980,1570000,census
NE,1990,1578000,census
NE,2000,1711000,census
NE,2010,1826000,census
NV,1910,53000,extrapolated_from_1930_1940
NV,1920,72000,extrapolated_from_1930_1940
NV,1930,91000,census
NV,1940,110000,census
NV,1950,160000,census
NV,1960,285000,census
NV,1970,489000,census
NV,1980,801000,census
NV,1990,1202000,census
NV,2000,1998000,census
NV,2010,2701000,census
NH,1910,411000,extrapolated_from_1930_1940
NH,1920,438000,extrapolated_from_1930_1940
NH,1930,465000,census
NH,1940,492000,census
NH,1950,533000,census
NH,1960,607000,census
NH,1970,738000,census
NH,1980,921000,census
NH,1990,1109000,census
NH,2000,1236000,census
NH,2010,1316000,census
NJ,1910,3803000,extrapolated_from_1930_1940
NJ,1920,3922000,extrapolated_from_1930_1940
NJ,1930,4041000,census
NJ,1940,4160000,census
NJ,1950,4835000,census
NJ,1960,6067000,census
NJ,1970,7168000,census
NJ,1980,7365000,census
NJ,1990,7730000,census
NJ,2000,8414000,census
NJ,2010,8792000,census
NM,1910,205000,extrapolated_from_1930_1940
NM,1920,314000,extrapolated_from_1930_1940
NM,1930,423000,census
NM,1940,532000,census
NM,1950,681000,census
NM,1960,951000,census
NM,1970,1016000,census
NM,1980,1303000,census
NM,1990,1515000,census
NM,2000,1819000,census
NM,2010,2059000,census
NY,1910,10806000,extrapolated_from_1930_1940
NY,1920,11697000,extrapolated_from_1930_1940
NY,1930,12588000,census
NY,1940,13479000,census
NY,1950,14830000,census
NY,1960,16782000,census
NY,1970,18237000,census
NY,1980,17558000,census
NY,1990,17990000,census
NY,2000,18976000,census
NY,2010,19378000,census
NC,1910,2366000,extrapolated_from_1930_1940
NC,1920,2768000,extrapolated_from_1930_1940
NC,1930,3170000,census
NC,1940,3572000,census
NC,1950,4062000,census
NC,1960,4556000,census
NC,1970,5082000,census
NC,1980,5882000,census
NC,1990,6629000,census
NC,2000,8049000,census
NC,2010,9535000,census
ND,1910,759000,extrapolated_from_1930_1940
ND,1920,720000,extrapolated_from_1930_1940
ND,1930,681000,census
ND,1940,642000,census
ND,1950,620000,census
ND,1960,632000,census
ND,1970,618000,census
ND,1980,653000,census
ND,1990,639000,census
ND,2000,642000,census
ND,2010,673000,census
OH,1910,6125000,extrapolated_from_1930_1940
OH,1920,6386000,extrapolated_from_1930_1940
OH,1930,6647000,census
OH,1940,6908000,census
OH,1950,7947000,census
OH,1960,9706000,census
OH,1970,10652000,census
OH,1980,10798000,census
OH,1990,10847000,census
OH,2000,11353000,census
OH,2010,11537000,census
OK,1910,2516000,extrapolated_from_1930_1940
OK,1920,2456000,extrapolated_from_1930_1940
OK,1930,2396000,census
OK,1940,2336000,census
OK,1950,2233000,census
OK,1960,2328000,census
OK,1970,2559000,census
OK,1980,3025000,census
OK,1990,3146000,census
OK,2000,3451000,census
OK,2010,3751000,census
OR,1910,682000,extrapolated_from_1930_1940
OR,1920,818000,extrapolated_from_1930_1940
OR,1930,954000,census
OR,1940,1090000,census
OR,1950,1521000,census
OR,1960,1769000,census
OR,1970,2091000,census
OR,1980,2633000,census
OR,1990,2842000,census
OR,2000,3421000,census
OR,2010,3831000,census
PA,1910,9093000,extrapolated_from_1930_1940
PA,1920,9362000,extrapolated_from_1930_1940
PA,1930,9631000,census
PA,1940,9900000,census
PA,1950,10498000,census
PA,1960,11319000,census
PA,1970,11794000,census
PA,1980,11864000,census
PA,1990,11882000,census
PA,2000,12281000,census
PA,2010,12702000,census
